Country,Coffee type,2016/17,2017/18,2018/19,2019/20,Total_domestic_consumption
Angola,Robusta/Arabica,1800000,1800000,1800000,1800000,46500000
Bolivia (Plurinational State of),Arabica,3420000,3510000,3600000,3660000,75180000
Brazil,Arabica/Robusta,1273500000,1319820000,1332000000,1320000000,27824700000
Burundi,Arabica/Robusta,120000,120000,120000,120000,3412020
Ecuador,Arabica/Robusta,9300000,9300000,9300000,8940000,381540000
Indonesia,Robusta/Arabica,279000000,285000000,288000000,288360000,4920480000
Madagascar,Robusta,21600000,21900000,22500000,22500000,588705960
Malawi,Arabica,60000,60000,60000,60000,2340000
Papua New Guinea,Arabica/Robusta,120000,120000,120000,120000,3608400
Paraguay,Arabica,1200000,1200000,1200000,1200000,35100000
Peru,Arabica,15000000,15000000,15000000,15000000,402000000
Rwanda,Arabica,60000,60000,60000,60000,2139960
Timor-Leste,Arabica,29400,29400,29400,29400,294000
Zimbabwe,Arabica,240000,240000,240000,240000,8595960
Congo,Robusta,180000,180000,180000,180000,5360040
Cuba,Arabica,13200000,13200000,13200000,12960000,384006000
Dominican Republic,Arabica/Robusta,23400000,23400000,23400000,22620000,642823380
Haiti,Arabica,20400000,20400000,20700000,20700000,600600000
Philippines,Robusta/Arabica,181800000,190800000,198000000,195000000,2807280000
Tanzania,Arabica/Robusta,5478000,5500020,5520000,5700000,76425060
Zambia,Arabica,0,0,0,0,991920
Cameroon,Robusta/Arabica,4620000,4680000,4680000,4620000,143450940
Central African Republic,Robusta,1200000,1200000,1200000,1200000,24794400
Colombia,Arabica,104186484,107596260,107484600,121486440,2536776384
Costa Rica,Arabica,19767420,21200040,21900000,21120000,665335200
C̫te d'Ivoire,Robusta,19020000,19020000,19020000,19020000,410260140
Democratic Republic of Congo,Robusta/Arabica,12000000,12000000,12000000,11880000,359880000
El Salvador,Arabica,17520000,18000000,18000000,17520000,417242040
Equatorial Guinea,Robusta,0,0,0,0,0
Ethiopia,Arabica,214260000,218580000,221100000,226860000,4536540000
Gabon,Robusta,30000,30000,30000,30000,1123140
Ghana,Robusta,120000,120000,120000,120000,9970800
Guatemala,Arabica/Robusta,23400000,23700000,23700000,23580000,590880000
Guinea,Robusta,3000000,3000000,3000000,3000000,86730000
Guyana,Robusta,540000,540000,540000,540000,9203040
Honduras,Arabica,22200000,22500000,22500000,21000000,471850680
India,Robusta/Arabica,86400000,88200000,88500000,87000000,2093460000
Jamaica,Arabica,540000,540000,540000,540000,18688020
Kenya,Arabica,3600000,3900000,4200000,4290000,95190000
Lao People's Democratic Republic,Robusta,9000000,9300000,9300000,9420000,157980000
Liberia,Robusta,300000,300000,300000,300000,8640000
Mexico,Arabica/Robusta,141600000,144000000,147000000,145500000,3189660000
Nepal,Arabica,0,0,0,0,0
Nicaragua,Arabica,13003680,13080000,13200000,12600000,299700300
Nigeria,Robusta,2400000,2400000,2400000,2400000,70740000
Panama,Arabica,4020000,4020000,4020000,4020000,122916960
Sierra Leone,Robusta,300000,300000,300000,300000,10080000
Sri Lanka,Robusta/Arabica,2100000,2100000,2100000,2100000,58300020
Thailand,Robusta/Arabica,81000000,82500000,84000000,84000000,1248600000
Togo,Robusta,15240,15240,15240,15600,2167620
Trinidad & Tobago,Robusta,600000,600000,600000,600000,21090000
Uganda,Robusta/Arabica,14400000,14688000,15000000,15240000,284816400
Venezuela,Arabica,99000000,96000000,93000000,76500000,2386067999
Viet Nam,Robusta/Arabica,144000000,150000000,156000000,159000000,1920928320
Yemen,Arabica,6000000,5400000,3900000,3840000,121620000